,Order ID,Order Date,Contact Name,Country,City,Region,Subregion,Customer,Industry,Segment,Product,Sales,Quantity,Discount,Profit,Price,Year,Month
0,EMEA-2022-152156,2022-11-09,Nathan Bell,Ireland,Dublin,EMEA,UKIR,Chevron,Energy,SMB,Marketing Suite,261.96,2,0.0,41.9136,130.98,2022,11
1,EMEA-2022-152156,2022-11-09,Nathan Bell,Ireland,Dublin,EMEA,UKIR,Chevron,Energy,SMB,FinanceHub,731.94,3,0.0,219.582,243.98000000000002,2022,11
2,AMER-2022-138688,2022-06-13,Deirdre Bailey,United States,New York City,AMER,NAMER,Phillips 66,Energy,Strategic,FinanceHub,14.62,2,0.0,6.8714,7.31,2022,6
3,EMEA-2021-108966,2021-10-11,Zoe Hodges,Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,Energy,SMB,ContactMatcher,957.5775,5,0.45,-383.031,348.2099999999999,2021,10
4,EMEA-2021-108966,2021-10-11,Zoe Hodges,Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,Energy,SMB,Marketing Suite - Gold,22.368,2,0.2,2.5164,13.979999999999999,2021,10
5,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,SaaS Connector Pack,48.86,7,0.0,14.1694,6.9799999999999995,2020,6
6,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,ChatBot Plugin,7.28,4,0.0,1.9656,1.82,2020,6
7,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,Site Analytics,907.152,6,0.2,90.7152,188.99,2020,6
8,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,ContactMatcher,18.504,3,0.2,5.7825,7.71,2020,6
9,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,OneView,114.9,5,0.0,34.47,22.98,2020,6
10,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,ContactMatcher,1706.184,9,0.2,85.3092,236.97,2020,6
11,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,Site Analytics,911.424,4,0.2,68.3568,284.82,2020,6
12,EMEA-2023-114412,2023-04-16,Adrian Hunter,Sweden,Stockholm,EMEA,NOR,Engie,Energy,SMB,Support,15.552,3,0.2,5.4432,6.4799999999999995,2023,4
13,AMER-2022-161389,2022-12-06,Adrian Abraham,Canada,Toronto,AMER,NAMER,Microsoft,Tech,SMB,ContactMatcher,407.976,3,0.2,132.5922,169.98999999999998,2022,12
14,APJ-2021-118983,2021-11-22,Emily Morrison,Japan,Saitama,APJ,JAPN,Pfizer,Healthcare,Enterprise,OneView,68.81,5,0.8,-123.858,68.81000000000002,2021,11
15,APJ-2021-118983,2021-11-22,Emily Morrison,Japan,Saitama,APJ,JAPN,Pfizer,Healthcare,Enterprise,ContactMatcher,2.544,3,0.8,-3.816,4.240000000000001,2021,11
16,EMEA-2020-105893,2020-11-11,Claire Welch,Italy,Naples,EMEA,EU,Toyota Motor,Manufacturing,SMB,Marketing Suite - Gold,665.88,6,0.0,13.3176,110.98,2020,11
17,EMEA-2020-167164,2020-05-13,Carol Campbell,Turkey,Ankara,EMEA,MEA,Home Depot,Retail,SMB,Marketing Suite - Gold,55.5,2,0.0,9.99,27.75,2020,5
18,AMER-2020-143336,2020-08-27,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,Finance,SMB,ChatBot Plugin,8.56,2,0.0,2.4824,4.28,2020,8
19,AMER-2020-143336,2020-08-27,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,Finance,SMB,Site Analytics,213.48,3,0.2,16.011,88.94999999999999,2020,8
20,AMER-2020-143336,2020-08-27,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,Finance,SMB,ContactMatcher,22.72,4,0.2,7.384,7.1,2020,8
21,AMER-2022-137330,2022-12-10,Melanie Sharp,Costa Rica,San José,AMER,LATAM,Carrefour,Retail,Strategic,ChatBot Plugin,19.46,7,0.0,5.0596,2.7800000000000002,2022,12
22,AMER-2022-137330,2022-12-10,Melanie Sharp,Costa Rica,San José,AMER,LATAM,Carrefour,Retail,Strategic,OneView,60.34,7,0.0,15.6884,8.620000000000001,2022,12
